unique_id,ds,y
1,2026-01-09 18:00:00,1494
1,2026-01-09 18:00:00,13590
1,2026-01-09 18:00:00,13647
1,2026-01-09 18:00:00,3072
1,2026-01-09 18:00:00,307
1,2026-01-09 18:00:00,779
1,2026-01-09 18:00:00,324
1,2026-01-09 18:00:00,2206
1,2026-01-09 18:00:00,5929
1,2026-01-09 18:00:00,4462
1,2026-01-09 18:00:00,17094
1,2026-01-09 18:00:00,16682
1,2026-01-09 18:00:00,782
1,2026-01-09 18:00:00,2185
1,2026-01-09 18:00:00,224
1,2026-01-09 18:00:00,189
1,2026-01-09 18:00:00,68
1,2026-01-09 18:00:00,64
1,2026-01-09 18:00:00,1830
1,2026-01-09 18:00:00,29588
1,2026-01-09 18:00:00,2198
